Price,Close,High,Low,Open,Volume
2/14/2019,40.86046219,40.97050588,40.52075621,40.59970251,87342800
2/15/2019,40.76955795,41.07577192,40.60927436,40.9681192,98507200
2/19/2019,40.89156723,41.01357682,40.54707922,40.5997101,75891200
2/20/2019,41.15472794,41.46333661,40.90593039,40.95377565,104457600
2/21/2019,40.92267227,41.2360629,40.74085883,41.09970374,68998800
2/22/2019,41.3795929,41.3867695,40.99921826,41.04706351,75652800
2/25/2019,41.68103027,42.07336722,41.61404618,41.66428608,87493600
2/26/2019,41.70495605,41.93700939,41.42744845,41.55663466,68280800
2/27/2019,41.83413696,41.86523802,41.32218506,41.43701805,111341600
2/28/2019,41.42266464,41.84371169,41.36764278,41.7025669,112861600
3/1/2019,41.85805511,41.90111474,41.36045649,41.6929859,103544800
3/4/2019,42.06858444,42.52311985,41.61883101,42.03030678,109744800
3/5/2019,41.99201584,42.10445416,41.75517697,42.09010095,78949600
3/6/2019,41.75040817,41.9824615,41.61165438,41.7862912,83241600
3/7/2019,41.26716232,41.73126896,41.15233298,41.59490615,99185600
3/8/2019,41.36524963,41.4035273,40.54947467,40.74564497,95997600
3/11/2019,42.79823303,42.85086391,41.9489697,41.98246174,128044000
3/12/2019,43.27908707,43.70013042,42.91067093,43.06138696,129870400
3/13/2019,43.4704628,43.85083743,43.28146915,43.59964533,124130000
3/14/2019,43.95371246,44.04223002,43.67381389,43.99438111,94318000
3/15/2019,44.52547073,44.81494054,43.95610602,44.22165137,156171600
3/18/2019,44.9800148,45.06852871,44.4465294,44.44892404,104879200
3/19/2019,44.62356186,45.21206914,44.47763144,45.05896212,126585600
3/20/2019,45.01350021,45.33167643,44.19293973,44.55178459,124140800
3/21/2019,46.67136002,46.9680064,45.40822644,45.45846633,204136800
3/22/2019,45.70486832,47.29335454,45.64027523,46.73116287,169630800
3/25/2019,45.15225601,45.92735861,44.64030413,45.81492026,175381200
3/26/2019,44.68575287,46.14266578,44.15705682,45.850805,199202000
3/27/2019,45.087677,45.39628209,44.62835585,45.15466111,119393600
3/28/2019,45.14747238,45.34842465,44.86278818,45.20249424,83121600
3/29/2019,45.4417305,45.47283156,45.10441538,45.41302407,94256000
4/1/2019,45.75032425,45.85558233,45.06612664,45.84601474,111448000
4/2/2019,46.41538239,46.52064412,45.70486935,45.71443694,91062800
4/3/2019,46.7335701,47.00868307,46.20726131,46.23118577,93087200
4/4/2019,46.81490707,46.97758168,46.20487,46.59959794,76457200
4/5/2019,47.12829208,47.15221653,46.87231433,46.9967149,74106400
4/8/2019,47.86991501,47.90101242,46.97040805,46.98954688,103526800
4/9/2019,47.72636414,48.52778575,47.66177104,47.9225344,143072800
4/10/2019,47.99430466,48.02301473,47.41058308,47.53019804,86781200
4/11/2019,47.59479523,48.08521733,47.47278927,48.0493343,83603200
4/12/2019,47.57565689,47.87947994,46.93930803,47.65460321,111042800
4/15/2019,47.66178131,47.81010636,47.36992048,47.50628331,70146400
4/16/2019,47.66656876,48.17373509,47.5014995,47.71680865,102785600
4/17/2019,48.59476852,48.654576,47.5134484,47.73593045,115627200
4/18/2019,48.76942825,48.83880335,48.44886093,48.59239674,96783200
4/22/2019,48.92970276,49.02778792,48.40578857,48.52301256,77758000
4/23/2019,49.63541794,49.70001103,48.77897447,48.90576602,93292000
4/24/2019,49.55887604,49.87465767,49.5325606,49.6067213,70162400
4/25/2019,49.1091156,49.70240475,49.07083794,49.47992269,74172800
4/26/2019,48.87466049,49.04212066,48.35313751,49.01819622,74596400
4/29/2019,48.94884109,49.27419398,48.76941863,48.8986012,88818800
4/30/2019,48.00626373,48.65936034,47.63306567,48.57802305,186139600
5/1/2019,50.36268234,51.50859202,50.05407371,50.20957534,259309200
5/2/2019,50.03494263,50.87224745,49.79093071,50.20001188,127985200
5/3/2019,50.65693283,50.67846265,50.29330235,50.45119496,83569600
5/6/2019,49.87465668,49.9607796,48.6832926,48.87228265,129772400
5/7/2019,48.53017426,49.62106194,48.04453788,49.25264952,155054800
5/8/2019,48.53974915,49.12347073,48.2646362,48.30051923,105358000
5/9/2019,48.01823807,48.24789679,47.04696501,47.94168273,139634400
5/10/2019,47.35300827,47.75406397,46.29394434,47.41064587,164834800
5/13/2019,44.60088348,45.50385072,43.91165068,45.07878572,229722400
5/14/2019,45.30692673,45.55668237,44.52643532,44.76658652,146118800
5/15/2019,45.84967041,46.04899636,44.6729309,44.7329687,106178800
5/16/2019,45.64793015,46.22189124,45.35014141,45.60710489,132125600
5/17/2019,45.38858032,45.84486617,44.85064027,44.89146554,131516400
5/20/2019,43.96927643,44.27186924,43.29445223,44.07254334,154449200
5/21/2019,44.8122139,45.1484241,44.35592443,44.48080408,113459200
5/22/2019,43.89483261,44.59847748,43.83959887,44.346318,118994400
5/23/2019,43.1455574,43.35688793,42.7012763,43.17917842,146118800
5/24/2019,42.97986984,43.74114887,42.89581544,43.27525486,94858800
5/28/2019,42.80214691,43.36890388,42.72530043,42.96785182,111792800
5/29/2019,42.59802246,43.07112063,42.26661262,42.36747569,113924800
5/30/2019,42.8189621,43.04230097,42.42751445,42.73490771,84873600
5/31/2019,42.04327011,42.74451114,42.02405758,42.3218427,108174400
6/3/2019,41.61820221,42.72769954,40.89054439,42.17055068,161584400
6/4/2019,43.14076233,43.18639164,41.91118933,42.132128,123872000
6/5/2019,43.83719254,44.42556583,43.50098237,44.25505689,119093600
6/6/2019,44.48081207,44.54084988,43.74354602,43.96688858,90105200
6/7/2019,45.6647377,46.08980624,44.6128782,44.7905877,122737600
6/10/2019,46.24832535,46.91834568,46.01777855,46.06340787,104883600
6/11/2019,46.78385162,47.06963212,46.49327074,46.79585992,107731600
6/12/2019,46.63495636,47.06242515,46.44283469,46.57731876,73012800
6/13/2019,46.62535477,47.2593538,46.49327454,46.75743866,86698400
6/14/2019,46.28673935,46.49086565,45.70076989,46.00095886,75046000
6/17/2019,46.56291199,46.81987551,46.14985167,46.325161,58676400
6/18/2019,47.65800476,48.09988209,46.87991722,47.08164335,106204000
6/19/2019,47.5187149,48.00142114,47.38423082,47.95338797,84496800
6/20/2019,47.90055466,48.17672704,47.55713657,48.11908944,86056000
6/21/2019,47.73725891,48.23437369,47.58596247,47.74206296,191202400
6/24/2019,47.68923187,48.06867126,47.59076899,47.67962377,72881600
6/25/2019,46.96637344,47.85252832,46.89912773,47.65320238,84281200
6/26/2019,47.98221207,48.26799259,47.39384234,47.49470541,104270000
6/27/2019,47.96779633,48.40727341,47.92697107,48.09987654,83598800
6/28/2019,47.53071594,47.91015521,47.32178561,47.7132295,124442400
7/1/2019,48.40246964,49.10851467,48.18633138,48.79151336,109012000
7/2/2019,48.68584824,48.78191091,48.35684229,48.36885058,67740800
7/3/2019,49.08929443,49.09649867,48.67623419,48.81792248,45448000
7/5/2019,49.04607391,49.25020388,48.72667241,48.83474337,69062000
7/8/2019,48.03504562,48.3664518,47.64840203,48.22476347,101354400
7/9/2019,48.32802582,48.392864,47.74445653,47.83811535,82312000
7/10/2019,48.80592728,48.92600288,48.40487521,48.47452111,71588400
7/11/2019,48.4505043,49.08450332,48.44089987,48.82513959,80767200
7/12/2019,48.82273483,48.99083992,48.55856707,48.61860487,70380800
7/15/2019,49.28141785,49.43991482,48.99083335,49.01244607,67789600
7/16/2019,49.11091614,49.49755968,48.87076496,49.13252886,67467200
7/17/2019,48.83474731,49.25260805,48.81553478,49.00285242,56430000
7/18/2019,49.38949966,49.44233322,48.91880167,48.99084777,74162400
7/19/2019,48.65222168,49.59121358,48.59698794,49.42070464,83717200
7/22/2019,49.76413345,49.76653365,48.89718745,48.90679188,89111600
7/23/2019,50.15318298,50.16999533,49.78094784,50.06192801,73420800
7/24/2019,50.11235046,50.22762201,49.75212366,49.87219926,59966400
7/25/2019,49.7161026,50.24923856,49.6464567,50.16518417,55638400
7/26/2019,49.88901138,50.36690992,49.7449192,49.82656973,70475600
7/29/2019,50.35490799,50.58545478,50.05712281,50.06192686,86693600
7/30/2019,50.13877106,50.47018091,49.78574847,50.13396701,135742800
7/31/2019,51.16181183,53.16227183,50.74395107,51.97352409,277125600
